to remember ,remembered ,remembered 
to love ,loved ,loved 
to consider ,considered ,considered 
to appear ,appeared ,appeared 
to buy ,bought ,bought 
to wait ,waited ,waited 
to serve ,served ,served 
to die ,died ,died 
to send ,sent ,sent 
to expect ,expected ,expected 
to build ,built ,built 
to stay ,stayed ,stayed 
to fall ,fell ,fallen 
to cut ,cut ,cut 
to reach ,reached ,reached 
to kill ,killed ,killed 
to remain ,remained ,remained 
to suggest ,suggested ,suggested 
to raise ,raised ,raised 
to pass ,passed ,passed 
to sell ,sold ,sold 
to require ,required ,required 
to report ,reported ,reported 
to decide ,decided ,decided 
to pull ,pulled ,pulled 
to stand ,stood ,stood 
to lose ,lost ,lost 
to pay ,paid ,paid 
to meet ,met ,met 
to include ,included ,included 
to continue,continued ,continued 
to set ,set ,set 
to learn ,learnt  / learned ,learnt  / learned 
to change ,changed ,changed 
to lead ,led ,led 
to understand,understood ,understood 
to watch ,watched ,watched 
to follow ,followed ,followed 
to stop ,stopped ,stopped 
to create ,created ,created 
to speak ,spoke ,spoken 
to read ,read ,read 
to allow ,allowed ,allowed 
to add ,added ,added 
to spend ,spent ,spent 
to grow ,grew ,grown 
to open ,opened ,opened 
to walk ,walked ,walked 
to win ,won ,won 
to offer ,offered ,offered 
to leave ,left ,left 
to put ,put ,put 
to mean ,meant ,meant 
to keep ,kept ,kept 
to let ,let ,let 
to begin ,began ,begun 
to seem ,seemed ,seemed 
to help ,helped ,helped 
to talk ,talked ,talked 
to turn ,turned ,turned 
to start ,started ,started 
to show ,showed ,shown 
to hear ,heard ,heard 
to play ,played ,played 
to run ,ran ,run 
to move ,moved ,moved 
to like ,liked ,liked 
to live ,lived ,lived 
to believe ,believed ,believed 
to hold ,held ,held 
to bring ,brought ,brought 
to happen ,happened ,happened 
to write ,wrote ,written 
to provide ,provided ,provided 
to sit ,sat ,sat 
to be ,were ,been 
to have ,had ,had 
to do ,did ,done 
to say ,said ,said 
to go ,went ,gone 
to get ,got ,got  / gotten  
to make ,made ,made 
to know ,knew ,known 
to think ,thought ,thought 
to take ,took ,taken 
to see ,saw ,seen 
to come ,came ,come 
to want ,wanted ,wanted 
to look ,looked ,looked 
to use ,used ,used 
to find ,found ,found 
to give ,gave ,given 
to tell ,told ,told 
to work ,worked ,worked 
to call ,called ,called 
to try ,tried ,tried 
to ask ,asked ,asked 
to need ,needed ,needed 
to feel ,felt ,felt 
to become ,became ,become 
